AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_RATING_CLIENT,DAYS_BIRTH,DAYS_EMPLOYED,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,NAME_EDUCATION_TYPE,NAME_INCOME_TYPE,OCCUPATION_TYPE,TARGET,target
126545.48357846325,208093.7942185419,10184.295009984015,204492.87070325762,1,-21560,-86,0.14342618299997176,0.698338369455988,0.6945808800093323,Incomplete higher,Commercial associate,Core staff,0,0
92121.88806294627,204423.99748989235,11822.978114647329,216137.93009607057,3,-23455,-209,0.10161327200791935,0.9159339463986471,0.29390318020460526,Lower secondary,Commercial associate,Sales staff,0,0
136467.84103686552,91364.66601432687,10520.148220377501,226873.4017376245,3,-12156,-2972,0.3030998992110906,0.6232163389075713,0.48657075714261333,Higher education,State servant,Laborers,0,0
211401.60152717162,220123.90800234472,13963.013485978112,352720.32125444344,3,-24971,-9991,0.1288292860188282,0.6289365016206778,0.4236400216580213,Higher education,State servant,Managers,0,0
87809.3540969792,416523.2032382237,21565.959739394057,151204.9296583543,2,-15337,-11138,0.12331742752199082,0.8314620990729439,0.3453446070339503,Secondary,State servant,Drivers,0,0
87810.0749170099,124923.98715486992,9814.175873300728,143893.18093745987,2,-7207,-14872,0.27687633644733683,0.6325598456664788,0.4916714261994874,Higher education,Working,Managers,0,0
217424.3836652974,503374.4425007175,19936.912641531493,407709.3699767623,1,-21321,-2334,0.4001757266208272,0.8496000728437663,0.4087915701781381,Higher education,State servant,Core staff,0,0
144888.15291952438,359570.26629047294,9772.534921056584,174325.17031040284,3,-10236,-3622,0.36462838976907674,0.5831361614330586,0.3904313154655007,Lower secondary,Commercial associate,Core staff,0,0
78062.3235917977,172725.68977182158,9518.08655061509,116830.83621374953,2,-24875,-13655,0.5284688984752927,0.5925460512004544,0.7992528070687509,Higher education,Working,Core staff,0,0
129479.78166489687,246491.35912659214,18535.40280240848,172376.2779679003,2,-20092,-4372,0.7425985411491464,0.612034543184523,0.16618147957218363,Lower secondary,State servant,Laborers,0,0
78299.0816728299,700110.2380707521,19317.651669924253,186273.93394304303,2,-18358,-3975,0.042610596472931306,0.8343258889778591,0.16714619681440532,Incomplete higher,Commercial associate,Laborers,0,0
78208.61785531163,416702.86302759766,18780.304650556922,478055.14162237867,2,-16155,-2249,0.24979711077195438,0.8440061436014802,0.5459290050232418,Higher education,Pensioner,Laborers,0,0
111410.97670563213,269755.2088738336,7892.601153142816,348855.5107645272,2,-11352,-7631,0.07349129637916638,0.8273056902370339,0.39208471119826066,Higher education,Working,Managers,0,0
37924.77523642294,232673.16205380237,11088.00983884687,389944.73709775374,2,-16068,-1060,0.16815863235237952,0.7550585501908149,0.3519787003486624,Incomplete higher,Commercial associate,Core staff,0,0
41670.18165355139,280959.39673516597,18568.009076914335,331037.46033509134,2,-17047,-7868,0.08929951919462564,0.7835035211558609,0.6886667106051337,Higher education,Commercial associate,Sales staff,0,0
74522.48980427324,197391.0104612585,13583.57656172926,352611.38453123765,3,-13817,-10358,0.2685386323292739,0.911881741253442,0.7840864000448822,Higher education,Commercial associate,Drivers,0,0
